Posicion_X_Cuerpo1	Posicion_Y_Cuerpo1	Posicion_X_Cuerpo2	Posicion_Y_Cuerpo2	
0.525322	0.703904	5.23138	-1.62905	
1.05064	1.30981	5.46275	-3.35609	
1.57597	1.81771	5.69413	-5.18114	
2.10129	2.22761	5.92551	-7.10419	
2.62661	2.53952	6.15689	-9.12524	
3.15193	2.75342	6.38826	-11.2443	
3.67725	2.86932	6.61964	-13.4613	
4.20258	2.88723	6.85102	-15.7764	
4.7279	2.80713	7.08239	-18.1894	
5.25322	2.62904	7.31377	-20.7005	
5.77854	2.35294	7.54515	-23.3095	
6.30386	1.97884	7.77653	-26.0166	
6.82919	1.50675	8.0079	-28.8216	
7.35451	0.936649	8.23928	-31.7247	
7.87983	0.268553	8.47066	-34.7257	
8.40515	-0.497544	8.70203	-37.8248	
8.93047	-1.36164	8.93341	-41.0218	
9.4558	-2.32374	9.16479	-44.3169	
9.98112	-3.38383	9.39617	-47.7099	
10.5064	-4.54193	9.62754	-51.2009	
11.0318	-5.79803	9.85892	-54.79	
11.5571	-7.15212	10.0903	-58.477	
12.0824	-8.60422	10.3217	-62.2621	
12.6077	-10.1543	10.5531	-66.1451	
13.133	-11.8024	10.7844	-70.1262	
13.6584	-13.5485	11.0158	-74.2052	
14.1837	-15.3926	11.2472	-78.3823	
14.709	-17.3347	11.4786	-82.6573	
15.2343	-19.3748	11.7099	-87.0304	
15.7597	-21.5129	11.9413	-91.5014	
16.285	-23.749	12.1727	-96.0705	
16.8103	-26.0831	12.4041	-100.738	
17.3356	-28.5152	12.6354	-105.503	
17.8609	-31.0453	12.8668	-110.366	
18.3863	-33.6734	13.0982	-115.327	
18.9116	-36.3995	13.3296	-120.386	
19.4369	-39.2236	13.561	-125.543	
19.9622	-42.1457	13.7923	-130.798	
20.4876	-45.1658	14.0237	-136.151	
21.0129	-48.2839	14.2551	-141.602	
21.5382	-51.5	14.4865	-147.151	
22.0635	-54.8141	14.7178	-152.798	
22.5888	-58.2261	14.9492	-158.543	
23.1142	-61.7362	15.1806	-164.386	
23.6395	-65.3443	15.412	-170.327	
24.1648	-69.0504	15.6434	-176.366	
24.6901	-72.8545	15.8747	-182.503	
25.2155	-76.7566	16.1061	-188.738	
25.7408	-80.7567	16.3375	-195.071	
26.2661	-84.8548	16.5689	-201.502	
26.7914	-89.0509	16.8002	-208.031	
27.3167	-93.345	17.0316	-214.658	
27.8421	-97.7371	17.263	-221.384	
28.3674	-102.227	17.4944	-228.207	
28.8927	-106.815	17.7257	-235.128	
29.418	-111.501	17.9571	-242.147	
29.9434	-116.285	18.1885	-249.264	
30.4687	-121.168	18.4199	-256.479	
30.994	-126.148	18.6513	-263.792	
31.5193	-131.226	18.8826	-271.203	
32.0446	-136.402	19.114	-278.712	
32.57	-141.676	19.3454	-286.319	
33.0953	-147.048	19.5768	-294.024	
33.6206	-152.518	19.8081	-301.827	
34.1459	-158.086	20.0395	-309.728	
34.6713	-163.752	20.2709	-317.727	
35.1966	-169.516	20.5023	-325.824	
35.7219	-175.379	20.7336	-334.019	
36.2472	-181.339	20.965	-342.312	
36.7725	-187.397	21.1964	-350.703	
37.2979	-193.553	21.4278	-359.192	
37.8232	-199.807	21.6592	-367.779	
38.3485	-206.159	21.8905	-376.464	
38.8738	-212.609	22.1219	-385.248	
39.3991	-219.157	22.3533	-394.129	
39.9245	-225.803	22.5847	-403.108	
40.4498	-232.547	22.816	-412.185	
40.9751	-239.39	23.0474	-421.36	
41.5004	-246.33	23.2788	-430.633	
42.0258	-253.368	23.5102	-440.004	
42.5511	-260.504	23.7416	-449.473	
43.0764	-267.738	23.9729	-459.04	
43.6017	-275.07	24.2043	-468.705	
44.127	-282.5	24.4357	-478.468	
44.6524	-290.028	24.6671	-488.329	
45.1777	-297.654	24.8984	-498.288	
45.703	-305.378	25.1298	-508.345	
46.2283	-313.2	25.3612	-518.5	
46.7537	-321.121	25.5926	-528.753	
47.279	-329.139	25.8239	-539.104	
47.8043	-337.255	26.0553	-549.553	
48.3296	-345.469	26.2867	-560.1	
48.8549	-353.781	26.5181	-570.745	
49.3803	-362.191	26.7495	-581.488	
49.9056	-370.699	26.9808	-592.33	
50.4309	-379.305	27.2122	-603.269	
50.9562	-388.009	27.4436	-614.306	
51.4816	-396.811	27.675	-625.441	
52.0069	-405.712	27.9063	-636.674	
52.5322	-414.71	28.1377	-648.005	
53.0575	-423.806	28.3691	-659.434	
